timestamp,gpu_util_pct,mem_used_mib,power_w,temp_c
2026/04/25 11:21:30.843, 96, [N/A], 60.58, 73
2026/04/25 11:21:35.899, 96, [N/A], 58.20, 72
2026/04/25 11:21:40.958, 96, [N/A], 55.79, 72
2026/04/25 11:21:46.030, 95, [N/A], 54.60, 69
2026/04/25 11:21:51.106, 96, [N/A], 60.83, 73
2026/04/25 11:21:56.141, 96, [N/A], 56.44, 70
2026/04/25 11:22:01.253, 96, [N/A], 59.05, 74
2026/04/25 11:22:06.318, 96, [N/A], 58.20, 74
2026/04/25 11:22:11.371, 95, [N/A], 57.55, 71
2026/04/25 11:22:16.450, 96, [N/A], 58.81, 73
2026/04/25 11:22:21.510, 96, [N/A], 57.39, 73
2026/04/25 11:22:26.569, 10, [N/A], 42.90, 66
2026/04/25 11:22:31.626, 96, [N/A], 56.75, 72
2026/04/25 11:22:36.671, 96, [N/A], 56.04, 78
2026/04/25 11:22:41.732, 96, [N/A], 57.44, 72
2026/04/25 11:22:46.791, 96, [N/A], 56.06, 71
2026/04/25 11:22:51.851, 96, [N/A], 55.31, 70
2026/04/25 11:22:56.903, 96, [N/A], 56.05, 72
2026/04/25 11:23:01.944, 96, [N/A], 55.68, 72
2026/04/25 11:23:07.008, 96, [N/A], 57.40, 74
2026/04/25 11:23:12.075, 96, [N/A], 55.72, 72
2026/04/25 11:23:17.182, 95, [N/A], 55.23, 68
2026/04/25 11:23:22.237, 96, [N/A], 56.79, 72
2026/04/25 11:23:27.303, 96, [N/A], 55.29, 72
2026/04/25 11:23:32.339, 95, [N/A], 54.76, 72
2026/04/25 11:23:37.411, 96, [N/A], 55.99, 73
2026/04/25 11:23:42.475, 96, [N/A], 33.73, 67
2026/04/25 11:23:47.519, 96, [N/A], 53.49, 68
2026/04/25 11:23:52.559, 96, [N/A], 57.29, 72
2026/04/25 11:23:57.610, 96, [N/A], 60.54, 73
2026/04/25 11:24:02.670, 96, [N/A], 57.31, 76
2026/04/25 11:24:07.729, 96, [N/A], 62.62, 74
2026/04/25 11:24:12.777, 96, [N/A], 59.64, 73
2026/04/25 11:24:17.811, 96, [N/A], 57.97, 71
2026/04/25 11:24:22.852, 96, [N/A], 62.67, 75
2026/04/25 11:24:27.905, 96, [N/A], 59.63, 74
2026/04/25 11:24:32.999, 96, [N/A], 63.62, 75
2026/04/25 11:24:38.070, 96, [N/A], 60.30, 74
2026/04/25 11:24:43.109, 96, [N/A], 57.98, 73
2026/04/25 11:24:48.149, 96, [N/A], 60.20, 74
2026/04/25 11:24:53.204, 96, [N/A], 59.79, 72
2026/04/25 11:24:58.253, 96, [N/A], 62.48, 77
2026/04/25 11:25:03.304, 96, [N/A], 69.00, 75
2026/04/25 11:25:08.362, 96, [N/A], 59.78, 73
2026/04/25 11:25:13.429, 96, [N/A], 57.76, 73
2026/04/25 11:25:18.499, 96, [N/A], 62.17, 73
2026/04/25 11:25:23.572, 96, [N/A], 62.25, 75
2026/04/25 11:25:28.637, 96, [N/A], 66.96, 78
2026/04/25 11:25:33.675, 96, [N/A], 61.76, 80
2026/04/25 11:25:38.778, 96, [N/A], 58.65, 75
2026/04/25 11:25:43.846, 96, [N/A], 63.39, 75
2026/04/25 11:25:48.898, 96, [N/A], 60.79, 80
2026/04/25 11:25:53.981, 27, [N/A], 28.96, 66
2026/04/25 11:25:59.030, 96, [N/A], 56.78, 72
2026/04/25 11:26:04.098, 96, [N/A], 57.47, 73
2026/04/25 11:26:09.160, 96, [N/A], 60.27, 71
2026/04/25 11:26:14.235, 96, [N/A], 55.99, 75
2026/04/25 11:26:19.291, 96, [N/A], 57.96, 72
2026/04/25 11:26:24.366, 96, [N/A], 57.10, 73
2026/04/25 11:26:29.410, 96, [N/A], 55.99, 75
2026/04/25 11:26:34.462, 96, [N/A], 57.37, 74
